,Step,Time,Unsubtracted HeatFlow,Baseline HeatFlow,Program Temperature,Sample Temperature,Approx. GasFlow
0,1,0.0,16.854884,0.0,110.0,94.633,0.0
1,1,0.016667,-36.951067,0.0,110.0,97.96,0.0
2,1,0.033333,-84.729194,0.0,110.0,100.804,0.0
3,1,0.05,-111.938174,0.0,110.0,102.903,0.0
4,1,0.066667,-143.785539,0.0,110.0,104.362,0.0
5,1,0.083333,-179.030044,0.0,110.0,105.355,0.0
6,1,0.1,-211.41072,0.0,110.0,106.029,0.0
7,1,0.116667,-238.439766,0.0,110.0,106.49,0.0
8,1,0.133333,-260.499233,0.0,110.0,106.809,0.0
9,1,0.15,-278.507428,0.0,110.0,107.031,0.0
10,1,0.166667,-293.154115,0.0,110.0,107.19,0.0
11,1,0.183333,-304.87255,0.0,110.0,107.304,0.0
12,1,0.2,-313.969269,0.0,110.0,107.388,0.0
13,1,0.216667,-320.836467,0.0,110.0,107.447,0.0
14,1,0.233333,-325.9074,0.0,110.0,107.493,0.0
15,1,0.25,-329.60671,0.0,110.0,107.525,0.0
16,1,0.266667,-332.287893,0.0,110.0,107.548,0.0
17,1,0.283333,-334.235184,0.0,110.0,107.566,0.0
18,1,0.3,-335.647513,0.0,110.0,107.581,0.0
19,1,0.316667,-336.673781,0.0,110.0,107.591,0.0
20,1,0.333333,-337.421006,0.0,110.0,107.599,0.0
21,1,0.35,-337.968829,0.0,110.0,107.604,0.0
22,1,0.366667,-338.367632,0.0,110.0,107.608,0.0
23,1,0.383333,-338.655407,0.0,110.0,107.612,0.0
24,1,0.4,-338.866844,0.0,110.0,107.614,0.0
25,1,0.416667,-339.021999,0.0,110.0,107.617,0.0
26,1,0.433333,-339.131729,0.0,110.0,107.618,0.0
27,1,0.45,-339.214321,0.0,110.0,107.619,0.0
28,1,0.466667,-339.278035,0.0,110.0,107.62,0.0
29,1,0.483333,-339.323697,0.0,110.0,107.621,0.0
30,1,0.5,-339.354138,0.0,110.0,107.621,0.0
31,1,0.516667,-339.379152,0.0,110.0,107.623,0.0
32,1,0.533333,-339.396496,0.0,110.0,107.623,0.0
33,1,0.55,-339.408531,0.0,110.0,107.623,0.0
34,1,0.566667,-339.412779,0.0,110.0,107.624,0.0
35,1,0.583333,-339.421628,0.0,110.0,107.624,0.0
36,1,0.6,-339.424224,0.0,110.0,107.625,0.0
37,1,0.616667,-339.426584,0.0,110.0,107.626,0.0
38,1,0.633333,-339.426466,0.0,110.0,107.627,0.0
39,1,0.65,-339.428707,0.0,110.0,107.627,0.0
40,1,0.666667,-339.42682,0.0,110.0,107.627,0.0
41,1,0.683333,-339.425522,0.0,110.0,107.627,0.0
42,1,0.7,-339.425522,0.0,110.0,107.627,0.0
43,1,0.716667,-339.425994,0.0,110.0,107.627,0.0
44,1,0.733333,-339.424932,0.0,110.0,107.626,0.0
45,1,0.75,-339.426938,0.0,110.0,107.626,0.0
46,1,0.766667,-339.424814,0.0,110.0,107.628,0.0
47,1,0.783333,-339.419622,0.0,110.0,107.628,0.0
48,1,0.8,-339.419032,0.0,110.0,107.628,0.0
49,1,0.816667,-339.416791,0.0,110.0,107.628,0.0
50,1,0.833333,-339.417734,0.0,110.0,107.629,0.0
51,1,0.85,-339.416437,0.0,110.0,107.63,0.0
52,1,0.866667,-339.413251,0.0,110.0,107.63,0.0
53,1,0.883333,-339.411599,0.0,110.0,107.629,0.0
54,1,0.9,-339.408885,0.0,110.0,107.629,0.0
55,1,0.916667,-339.413251,0.0,110.0,107.629,0.0
56,1,0.933333,-339.414077,0.0,110.0,107.629,0.0
57,1,0.95,-339.411127,0.0,110.0,107.629,0.0
58,1,0.966667,-339.410065,0.0,110.0,107.63,0.0
59,1,0.983333,-339.406525,0.0,110.0,107.629,0.0
60,1,1.0,-339.403104,0.0,110.0,107.63,0.0
61,1,1.016667,-339.403694,0.0,110.0,107.63,0.0
62,1,1.033333,-339.404284,0.0,110.0,107.633,0.0
63,1,1.05,-339.405464,0.0,110.0,107.633,0.0
64,1,1.066667,-339.40157,0.0,110.0,107.632,0.0
65,1,1.083333,-339.398384,0.0,110.0,107.633,0.0
66,1,1.1,-339.398738,0.0,110.0,107.634,0.0
67,1,1.116667,-339.398738,0.0,110.0,107.632,0.0
68,1,1.133333,-339.397204,0.0,110.0,107.633,0.0
69,1,1.15,-339.394845,0.0,110.0,107.632,0.0
70,1,1.166667,-339.39567,0.0,110.0,107.632,0.0
71,1,1.183333,-339.39567,0.0,110.0,107.634,0.0
72,1,1.2,-339.394255,0.0,110.0,107.634,0.0
73,1,1.216667,-339.394255,0.0,110.0,107.635,0.0
74,1,1.233333,-339.393075,0.0,110.0,107.635,0.0
75,1,1.25,-339.389417,0.0,110.0,107.635,0.0
76,1,1.266667,-339.390833,0.0,110.0,107.636,0.0
77,1,1.283333,-339.392131,0.0,110.0,107.636,0.0
78,1,1.3,-339.390479,0.0,110.0,107.636,0.0
79,1,1.316667,-339.388119,0.0,110.0,107.636,0.0
80,1,1.333333,-339.385287,0.0,110.0,107.636,0.0
81,1,1.35,-339.388237,0.0,110.0,107.636,0.0
82,1,1.366667,-339.389771,0.0,110.0,107.637,0.0
83,1,1.383333,-339.387647,0.0,110.0,107.637,0.0
84,1,1.4,-339.385169,0.0,110.0,107.637,0.0
85,1,1.416667,-339.384226,0.0,110.0,107.637,0.0
86,1,1.433333,-339.383518,0.0,110.0,107.637,0.0
87,1,1.45,-339.38045,0.0,110.0,107.638,0.0
88,1,1.466667,-339.37986,0.0,110.0,107.637,0.0
89,1,1.483333,-339.382692,0.0,110.0,107.637,0.0
90,1,1.5,-339.384815,0.0,110.0,107.637,0.0
91,1,1.516667,-339.383636,0.0,110.0,107.637,0.0
92,1,1.533333,-339.383046,0.0,110.0,107.638,0.0
93,1,1.55,-339.38104,0.0,110.0,107.638,0.0
94,1,1.566667,-339.376792,0.0,110.0,107.639,0.0
95,1,1.583333,-339.375848,0.0,110.0,107.638,0.0
96,1,1.6,-339.379388,0.0,110.0,107.638,0.0
97,1,1.616667,-339.379624,0.0,110.0,107.639,0.0
98,1,1.633333,-339.378798,0.0,110.0,107.64,0.0
99,1,1.65,-339.375848,0.0,110.0,107.639,0.0
100,1,1.666667,-339.376792,0.0,110.0,107.639,0.0
